Task,Count of tasks_to_dwas.csv
"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",2
"Write, review, or maintain engineering documentation.",2
"Write, review, or execute plans for testing new or established document management systems.",1
"Write, review, or comment on documents, such as proposals, test plans, or procedures.",1
"Write, prepare, and deliver statements for the Congressional Record.",1
"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",2
"Write work instruction manuals, data capture guidelines, or standard operating procedures.",2
"Write words to fit musical compositions, including lyrics for operas, musical plays, and choral works.",1
Write warnings and citations for illegally parked vehicles.,1
"Write up or orally communicate research findings to the scientific community, producers, and the public.",1
"Write treatment plans, case summaries, or progress or other reports related to individual clients or client groups.",2
"Write to field representatives, medical personnel, or others to obtain further information, quote rates, or explain company underwriting policies.",1
"Write to customers in their terms and on their level so that the script, story, or advertisement message is more readily received.",1
"Write text, such as stories, articles, editorials, or newsletters.",1
"Write test or inspection reports describing results, recommendations, or needed repairs.",1
Write technical summaries to report findings.,1
Write technical reports or publications related to water resources development or water use efficiency.,1
Write technical reports or proposals related to engineering projects.,2
Write technical reports or prepare graphs or charts to document experimental results.,1
"Write technical reports or other documentation, such as handbooks or bulletins, for use by engineering staff, management, or customers.",1
"Write technical reports or documentation, such as deviation reports, testing protocols, and trend analyses.",1
Write technical reports for engineering and management personnel.,1
Write technical reports and draw charts that display statistics and data.,1
"Write technical papers or reports or prepare standards and specifications for processes, facilities, products, or tests.",2
Write technical documents or academic articles to communicate study results or economic forecasts.,1
Write technical documentation for products.,1
Write supporting code for Web applications or Web sites.,4
"Write speeches, press releases, or other promotional materials to increase awareness of the causes, missions, or goals of organizations seeking funds.",1
"Write specified information in flight records, such as flight times, altitudes flown, and fuel consumption.",1
"Write social, legal, or economic impact statements to inform decision makers for natural resource policies, standards, or programs.",1
Write simple programs for computer-controlled machine tools.,1
Write sales outlines for use by staff.,1
Write research reports and other publications to document and communicate research findings.,1
Write research proposals to receive funding.,1
Write research proposals or grant applications for submission to external bodies.,1
Write research proposals and grant applications to obtain private or public funding for environmental and economic studies.,1
Write research papers for publication in scientific journals.,1
Write reports.,2
"Write reports, sign affidavits, or give depositions for legal proceedings.",2
"Write reports, maintain research information, or perform clerical duties.",2
"Write reports to summarize testing activities, including descriptions of goals, planning, scheduling, execution, results, analysis, conclusions, and recommendations.",1
