Title,Count of tasks_to_dwas.csv
Shampooers,5
"Graders and Sorters, Agricultural Products",6
Aircraft Cargo Handling Supervisors,6
Pile Driver Operators,7
Travel Agents,8
Insurance Underwriters,8
Histology Technicians,8
Floor Sanders and Finishers,8
Farm Labor Contractors,8
Dredge Operators,8
Athletes and Sports Competitors,8
Physicists,9
"Insurance Appraisers, Auto Damage",9
"Rock Splitters, Quarry",10
Reinforcing Iron and Rebar Workers,10
Animal Scientists,10
Team Assemblers,11
"Refractory Materials Repairers, Except Brickmasons",11
Models,11
Logging Equipment Operators,11
Floral Designers,11
Farm and Home Management Educators,11
Data Entry Keyers,11
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",11
"Title Examiners, Abstractors, and Searchers",12
Speech-Language Pathology Assistants,12
"Shipping, Receiving, and Inventory Clerks",12
Prosthodontists,12
Proofreaders and Copy Markers,12
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",12
"Painting, Coating, and Decorating Workers",12
"Insulation Workers, Mechanical",12
Information Security Analysts,12
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",12
Geographers,12
Facilities Managers,12
Chemists,12
Water and Wastewater Treatment Plant and System Operators,13
Telemarketers,13
Tax Preparers,13
Special Effects Artists and Animators,13
Pharmacy Aides,13
Passenger Attendants,13
Paralegals and Legal Assistants,13
Orthodontists,13
Optometrists,13
Massage Therapists,13
Log Graders and Scalers,13
Industrial Truck and Tractor Operators,13
"Food Servers, Nonrestaurant",13
Food Scientists and Technologists,13
"Dispatchers, Except Police, Fire, and Ambulance",13
Credit Analysts,13
"Buyers and Purchasing Agents, Farm Products",13
Brokerage Clerks,13
Archivists,13
"Umpires, Referees, and Other Sports Officials",14
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",14
Subway and Streetcar Operators,14
Sound Engineering Technicians,14
Recreational Therapists,14
Political Scientists,14
Pest Control Workers,14
Personal Care Aides,14
Oral and Maxillofacial Surgeons,14
"Meter Readers, Utilities",14
"Medical Scientists, Except Epidemiologists",14
Mathematicians,14
"Laborers and Freight, Stock, and Material Movers, Hand",14
"Insulation Workers, Floor, Ceiling, and Wall",14
Government Property Inspectors and Investigators,14
Endoscopy Technicians,14
Dishwashers,14
Dancers,14
Customs and Border Protection Officers,14
Craft Artists,14
"Cooks, Private Household",14
Biological Technicians,14
Transit and Railroad Police,15
Technical Writers,15
Statistical Assistants,15
Solar Energy Systems Engineers,15
"Sewers, Hand",15
Segmental Pavers,15
"Roof Bolters, Mining",15
Riggers,15
Refuse and Recyclable Material Collectors,15
Preventive Medicine Physicians,15
Physical Medicine and Rehabilitation Physicians,15
Patient Representatives,15
Park Naturalists,15
Nuclear Monitoring Technicians,15
Media Technical Directors/Managers,15
Mechanical Drafters,15
Market Research Analysts and Marketing Specialists,15
Management Analysts,15
Locomotive Engineers,15
Locksmiths and Safe Repairers,15
Light Truck Drivers,15
Home Health Aides,15
Hoist and Winch Operators,15
Hearing Aid Specialists,15
Gambling Surveillance Officers and Gambling Investigators,15
Emergency Medical Technicians,15
Driver/Sales Workers,15
Crossing Guards and Flaggers,15
Court Reporters and Simultaneous Captioners,15
Clergy,15
Cartographers and Photogrammetrists,15
Budget Analysts,15
Aviation Inspectors,15
Audiovisual Equipment Installers and Repairers,15
Wind Turbine Service Technicians,16
Wind Energy Engineers,16
Wind Energy Development Managers,16
Tapers,16
Solar Sales Representatives and Assessors,16
School Psychologists,16
Private Detectives and Investigators,16
Power Distributors and Dispatchers,16
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",16
"Packers and Packagers, Hand",16
Neuropsychologists,16
Medical Equipment Preparers,16
Materials Scientists,16
Machine Feeders and Offbearers,16
Legal Secretaries and Administrative Assistants,16
Interpreters and Translators,16
Histotechnologists,16
Historians,16
Helpers--Extraction Workers,16
Geodetic Surveyors,16
Gas Compressor and Gas Pumping Station Operators,16
Foundry Mold and Coremakers,16
Electromechanical Equipment Assemblers,16
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",16
Customer Service Representatives,16
Crematory Operators,16
Couriers and Messengers,16
Continuous Mining Machine Operators,16
Commercial and Industrial Designers,16
Climate Change Policy Analysts,16
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",16
Civil Engineering Technologists and Technicians,16
Chiropractors,16
Chemical Technicians,16
Chemical Engineers,16
Butchers and Meat Cutters,16
Biofuels Production Managers,16
Bicycle Repairers,16
Avionics Technicians,16
Aerospace Engineering and Operations Technologists and Technicians,16
Actuaries,16
Wellhead Pumpers,17
Transportation Inspectors,17
Telephone Operators,17
Taxi Drivers,17
Talent Directors,17
Sustainability Specialists,17
Survey Researchers,17
Solar Energy Installation Managers,17
Signal and Track Switch Repairers,17
Remote Sensing Technicians,17
Recycling and Reclamation Workers,17
Public Relations Specialists,17
Psychiatrists,17
Postmasters and Mail Superintendents,17
"Poets, Lyricists and Creative Writers",17
Podiatrists,17
Physician Assistants,17
New Accounts Clerks,17
Motorboat Mechanics and Service Technicians,17
Microbiologists,17
Medical Transcriptionists,17
"Meat, Poultry, and Fish Cutters and Trimmers",17
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",17
"Layout Workers, Metal and Plastic",17
Interior Designers,17
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",17
Gambling Change Persons and Booth Cashiers,17
"Floor Layers, Except Carpet, Wood, and Hard Tiles",17
Fire-Prevention and Protection Engineers,17
Engine and Other Machine Assemblers,17
"Eligibility Interviewers, Government Programs",17
"Electronic Equipment Installers and Repairers, Motor Vehicles",17
Economists,17
Dietetic Technicians,17
Data Scientists,17
Cytotechnologists,17
Crane and Tower Operators,17
"Cooks, Short Order",17
Computer Numerically Controlled Tool Programmers,17
