DWA Title,Count of tasks_to_dwas.csv
Write reports or evaluations.,32
Write operational reports.,9
Write material for artistic or entertainment purposes.,14
Write informational material.,15
Write grant proposals.,46
Write computer programming code.,21
"Write articles, books or other original materials in area of expertise.",43
Write advertising or promotional material.,9
Weld metal components.,15
Weigh parcels to determine shipping costs.,3
Weigh materials to ensure compliance with specifications.,9
Weigh finished products.,16
Watch operating equipment to detect malfunctions.,27
Warn individuals about rule violations or safety concerns.,6
Visit individuals in their homes to provide support or information.,6
Verify that medical activities or operations meet standards.,7
Verify shipping documentation.,5
Verify patron or staff credentials.,6
Verify mathematical calculations.,6
Verify information or specifications.,17
Verify employee information.,3
Verify customer credit information.,4
Verify application data to determine program eligibility.,5
Verify alignment of structures or equipment.,7
Verify accuracy of records.,16
Verify accuracy of patient information.,7
Verify accuracy of financial or transactional data.,30
Verify accuracy of financial information.,6
Verify accuracy of data.,9
Usher patrons to seats or exits.,5
Use weapons or physical force to maintain security.,5
Use databases to locate investigation details or other information.,6
Update website content.,8
Update technical knowledge.,16
Update professional knowledge.,17
Update knowledge of legal or regulatory environments.,8
Update knowledge about emerging industry or technology trends.,21
Update job related knowledge or skills.,3
Update computer database information.,6
Unload materials or equipment.,10
Type documents.,9
Tutor students who need extra assistance.,17
Troubleshoot issues with computer applications or systems.,13
Troubleshoot equipment or systems operation problems.,14
Trim trees or other vegetation.,13
Trim excess material from workpieces.,30
Trim excess material from installations.,5
Trim client hair.,6
Treat patients using psychological therapies.,8
Treat patients using physical therapy techniques.,7
Treat patients using alternative medical procedures.,9
"Treat nails by shaping, decorating, or augmenting.",14
Treat medical emergencies.,24
Treat greenery or surfaces with protective substances.,9
Treat facilities to eliminate pests.,4
Treat dental problems or diseases.,15
Treat chronic diseases or disorders.,33
Treat animal injuries or illnesses.,4
"Treat acute illnesses, infections, or injuries.",17
"Travel to work sites to perform installation, repair or maintenance work.",9
Transport clients to appointments.,2
Transport biological or other medical materials.,11
"Transport animals, crops, or equipment.",5
Translate information for others.,9
Transcribe spoken or written information.,3
"Train workers in farming, forestry, or hunting techniques.",4
Train transportation or material moving personnel.,7
Train staff members.,9
Train staff members in social services skills.,7
Train service staff.,15
Train sales personnel.,7
Train personnel.,12
Train personnel to enhance job skills.,13
Train personnel on proper operational procedures.,25
Train personnel on managerial topics.,4
Train personnel in technical or scientific procedures.,19
Train personnel in organizational or compliance procedures.,7
"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",19
Train others on work processes.,10
Train others on performance techniques.,8
Train others in operational procedures.,10
Train others in computer interface or software use.,16
Train medical providers.,57
Train food preparation or food service personnel.,8
"Train employees on environmental awareness, conservation, or safety topics.",6
Train employees in proper work procedures.,10
Train customers in the use of products.,6
Train construction or extraction personnel.,8
Train caregivers or other non-medical personnel.,8
Train animals.,7
Track goods or materials.,8
Time vehicle speed or traffic-control equipment operation.,2
Thread wire or cable through ducts or conduits.,5
Testify at legal or legislative proceedings.,33
Test software performance.,22
Test quality of materials or finished products.,10
Test products for functionality or quality.,8
"Test performance of electrical, electronic, mechanical, or integrated systems or equipment.",45
Test performance of aircraft equipment.,3
Test patient vision.,24
Test patient nervous system functioning.,7
Test patient heart or lung functioning.,11
Test patient hearing.,5
Test mechanical systems to ensure proper functioning.,8
Test mechanical equipment to ensure proper functioning.,35
"Test materials, solutions, or samples.",8
Test green technology installations to verify performance.,6
Test green technologies or processes.,14
Test fluids to identify contamination or other problems.,6
Test facilities for environmental hazards.,8
Test electrical equipment or systems to ensure proper functioning.,28
Test electrical circuits or components for proper functioning.,18
Test computer system operations to ensure proper functioning.,18
Test computer hardware performance.,7
Test communications equipment to ensure proper functioning.,5
Test chemical or physical characteristics of materials or products.,20
Test characteristics of materials or structures.,10
Test biological specimens to gather information about patient conditions.,10
Test air quality at work sites.,5
Teach vocational courses.,5
Teach social science courses at the college level.,12
Teach safety standards or environmental compliance methods.,4
Teach physical science or mathematics courses at the college level.,15
Teach physical education.,4
Teach others to use technology or equipment.,20
Teach others to use computer equipment or hardware.,5
Teach online courses.,3
Teach medical procedures to healthcare personnel.,11
Teach medical procedures or medical equipment use to patients.,9
Teach life skills.,22
Teach life skills or strategies to clients or their families.,5
Teach humanities courses at the college level.,11
Teach health or hygiene practices.,7
Teach health management classes.,4
Teach exercise or fitness techniques.,8
Teach daily living skills or behaviors.,12
Teach classes in area of specialization.,17
Teach basic living or other adaptive skills to patients or caregivers.,5
Take product orders from customers.,7
Take customer orders.,9
Survey land or properties.,6
Survey land or bodies of water to measure or determine features.,17
Support the professional development of others.,14
Supervise workers providing client or patient services.,12
Supervise workers performing environmentally sustainable activities.,9
Supervise trainees.,3
Supervise technical medical personnel.,8
Supervise student research or internship work.,53
Supervise service workers.,18
Supervise scientific or technical personnel.,20
Supervise school or student activities.,17
Supervise sales or support personnel.,7
Supervise production or support personnel.,3
Supervise patient care personnel.,37
Supervise medical support personnel.,8
Supervise maintenance workers.,7
Supervise laboratory work.,19
Supervise inmate activities.,4
Supervise information technology personnel.,14
Supervise engineering or other technical personnel.,21
Supervise employees.,65
Supervise clerical or administrative personnel.,13
Supervise activities of other legal personnel.,3
Submit financial applications.,3
Study scripts to determine project requirements.,9
Study product information to acquire professional knowledge.,7
Study details of musical compositions.,4
Study blueprints or other instructions to determine equipment setup requirements.,23
Store supplies or goods in kitchens or storage areas.,14
Store records or related materials.,7
Store items.,8
Stock supplies or merchandise.,6
Stock serving stations or dining areas with food or supplies.,14
Stock products or parts.,6
Stock medical or patient care supplies.,9
Sterilize medical equipment or instruments.,12
Sterilize food cooking or processing equipment.,4
Stay informed about current developments in field of specialization.,40
Stack finished items for further processing or shipment.,14
"Spread sand, dirt or other loose materials onto surfaces.",11
Spread concrete or other aggregate mixtures.,10
Sort recyclable materials.,6
Sort materials or products.,5
"Sort materials or products for processing, storing, shipping, or grading.",14
Sort materials or objects for processing or transport.,2
Sort mail.,18
Sort forestry or agricultural materials.,5
Solder parts or workpieces.,11
Solder parts or connections between parts.,11
Smooth surfaces with abrasive materials or tools.,24
Smooth surfaces of objects or equipment.,11
Smooth metal surfaces or edges.,18
"Smooth garments with irons, presses, or steamers.",13
Slaughter animals.,3
Skim impurities from molten metal.,4
Signal others to coordinate work activities.,17
Signal others to coordinate vehicle movement.,16
Signal equipment operators to indicate proper equipment positioning.,9
Shovel materials.,3
Sharpen cutting or grinding tools.,11
Share sales-related or market information with colleagues.,4
Shape surfaces or edges of wood workpieces.,7
Shape metal workpieces with hammers or other small hand tools.,9
Shape glass or similar materials.,4
Shape clay or dough to create products.,4
Sew materials.,1
Sew clothing or other articles.,20
Set up still or video cameras or related equipment.,14
Set up merchandise displays.,13
Set up mechanical equipment.,1
"Set up material handling gear or equipment, such as rigging, packaging, or temporary structures.",4
Set up laboratory or field equipment.,10
Set up classroom materials or equipment.,23
"Set equipment guides, stops, spacers, or other fixtures.",16
Set equipment controls to meet cutting specifications.,30
Service vehicles to maintain functionality.,14
"Service heating, ventilation or air-conditioning (HVAC) systems or components.",7
Service green vehicles to make repairs or maintain good working order.,4
Serve on institutional or departmental committees.,59
Serve food or beverages.,22
Serve court ordered documents.,4
"Send information, materials or documentation.",27
Sell products or services.,50
Sell agricultural products.,2
"Select tools, equipment, or technologies for use in operations or projects.",14
"Select staff, team members, or performers.",10
Select resources needed to accomplish tasks.,10
Select project materials.,8
Select production input materials.,20
Select production equipment according to product specifications.,28
Select medical equipment for addressing patient needs.,3
Select materials or props.,14
"Select equipment, materials, or supplies for cleaning or maintenance activities.",4
Select educational materials or equipment.,39
Select construction materials.,14
Select construction equipment.,8
"Secure watercraft to docks, wharves or other vessels.",4
Secure cargo.,6
Search information sources to find specific data.,5
Search individuals for illegal or dangerous items.,5
"Search files, databases or reference materials to obtain needed information.",19
Seal gaps or cracks to prevent leakage or moisture intrusion.,7
"Schedule repair, installation or maintenance activities.",6
Schedule product or material transportation.,5
Schedule patient procedures or appointments.,22
Schedule operational activities.,25
Schedule medical facility use.,1
Schedule instructional activities.,9
Schedule equipment maintenance.,2
Schedule dining reservations.,3
Schedule appointments.,21
Schedule appointments with prospective customers.,3
Schedule agricultural or forestry work.,2
Schedule activities or facility use.,11
Run wiring to connect equipment.,5
Rule on admissibility of legal proceedings.,3
Route mail to correct destinations.,10
Rewire electrical or electronic systems.,6
Review work orders or schedules to determine operations or procedures.,16
Review technical documents to plan work.,21
Review professional literature to maintain professional knowledge.,19
Review production information to determine costume or makeup requirements.,6
Review plans or proposals for environmental conservation.,6
Review license or permit applications.,7
Review laws or regulations to maintain professional knowledge.,3
"Review environmental permits, plans, or reports.",6
Review documents or materials for compliance with policies or regulations.,14
Review details of technical drawings or specifications.,6
Review customer insurance information.,4
Review customer information.,3
Review blueprints or specifications to determine work requirements.,23
Review blueprints or other instructions to determine operational methods or sequences.,37
Review audio or video recordings.,1
Review art or design materials.,6
Review accuracy of sales or other transactions.,5
Retrieve information from electronic sources.,4
Respond to transportation emergencies.,3
Respond to emergencies to provide assistance.,12
Respond to customer problems or complaints.,19
Respond to customer inquiries.,8
Resolve personnel problems.,3
Resolve operational performance problems.,8
Resolve issues affecting transportation operations.,6
Resolve interpersonal conflicts.,3
Resolve employee or contractor problems.,3
Resolve customer complaints or problems.,25
Resolve computer software problems.,9
Resolve computer network problems.,5
Reshape small metal components for precision assembly.,4
Reshape metal workpieces to established specifications.,9
Research topics in area of expertise.,81
Research sustainable agricultural processes or practices.,6
Research relevant legal materials to aid decision making.,14
Research product safety.,3
Research new technologies.,7
Research microbiological or chemical processes or structures.,11
Research methods to improve food products.,6
Research livestock management methods.,6
Research issues related to the environment or sustainable business practices.,9
Research industrial processes or operations.,4
Research impacts of environmental conservation initiatives.,11
Research hydrologic features or processes.,7
Research human performance or health factors related to engineering or design activities.,9
Research geological features or processes.,5
Research genetic characteristics or expression.,12
Research environmental impact of industrial or development activities.,21
Research engineering aspects of biological or chemical processes.,9
Research engineering applications of emerging technologies.,5
"Research energy production, use, or conservation.",4
Research diseases or parasites.,10
Research design or application of green technologies.,6
Research crop management methods.,7
Research advanced engineering designs or applications.,10
Rescue people from hazardous situations.,7
Request emergency personnel.,10
Represent the organization in external relations.,13
Represent the interests of clients in legal proceedings.,8
Report vehicle or equipment malfunctions.,15
Report news to the public.,8
Report maintenance or equipment problems to appropriate personnel.,9
Report information to managers or other personnel.,12
"Replace worn, damaged, or defective mechanical parts.",38
Replace worn equipment components.,33
Replace vehicle glass.,10
"Repair worn, damaged, or defective mechanical parts.",39
Repair tires.,7
Repair textiles or apparel.,11
"Repair templates, patterns, or molds.",5
Repair structural components.,7
Repair production equipment or tools.,32
Repair precision devices or workpieces.,6
Repair pipes to stop leaking.,5
Repair parts or assemblies.,8
Repair non-engine automotive or vehicle components.,22
Repair medical or dental assistive devices.,5
Repair medical facility equipment.,7
Repair green energy equipment or systems.,4
Repair furniture or upholstery.,10
Repair electronic equipment.,16
Repair electrical equipment.,8
Repair electrical components.,10
Repair electrical circuits or wiring.,12
Repair defective engines or engine components.,11
Repair books or other printed material.,1
"Remove worn, damaged or outdated materials from work areas.",15
Remove workpieces from molds.,7
Remove trash.,4
Remove snow.,6
Remove skin or other body parts from animals.,2
Remove products or workpieces from production equipment.,34
Remove parts or components from vehicles.,5
Remove parts or components from equipment.,10
Remove excess materials from finished construction projects.,7
"Remove dents from equipment, materials, tools or structures.",6
Remove debris or vegetation from work sites.,9
Remove debris or damaged materials.,6
Remove debris from work sites.,7
"Remove accessories, tools, or other parts from equipment.",13
Relay information between personnel.,6
Relay information about incidents or emergencies to personnel using phones or two-way radios.,7
Refinish wood or metal surfaces.,4
Refer patients to other healthcare practitioners or health resources.,39
Refer individuals to educational or work programs.,7
Refer customers to appropriate personnel.,15
Refer clients to community or social service programs.,11
Recruit personnel.,16
Record vital statistics or other health information.,15
Record shipping information.,6
Record service or repair activities.,5
Record sales or transactions data.,9
Record research or operational data.,32
Record production information.,4
Record personnel information.,11
Record patient medical histories.,76
Record operational or production data.,111
Record operational or environmental data.,16
Record operational details of travel.,25
Record information from meetings or other formal proceedings.,6
Record information from legal proceedings.,5
Record information about suspicious objects.,2
Record information about suspects or criminals.,7
"Record information about parts, materials or repair procedures.",7
Record information about legal matters.,3
Record information about environmental conditions.,4
Record images needed to address work issues.,5
Record details of deliveries or shipments.,6
Record crime or accident scene evidence with video or still cameras.,5
Record agricultural or forestry inventory data.,7
Reconcile records of sales or other financial transactions.,13
Recommend types of assistive devices.,9
"Recommend technical design or process changes to improve efficiency, quality, or performance.",28
Recommend products or services to customers.,11
Recommend personnel decisions or human resources activities.,6
Recommend packing or shipping methods.,6
Recommend organizational process or policy changes.,20
Recommend legal actions.,6
Recommend investments to clients.,7
Recommend improvements to increase safety or reduce risks.,6
Recommend changes to improve computer or information systems.,23
Recommend changes or corrective procedures.,6
Receive shipments.,4
Receive information or instructions for performing work assignments.,16
Rebuild parts or components.,4
Reassemble equipment after repair.,20
Read work orders to determine material or setup requirements.,5
Read work orders or other instructions to determine product specifications or materials requirements.,38
Read work orders or descriptions of problems to determine repairs or modifications needed.,12
Read to students.,4
Read technical information needed to perform maintenance or repairs.,13
Read materials to determine needed actions.,4
Read maps to determine routes.,6
Read documents to gather technical information.,9
Purchase stocks of merchandise or supplies.,6
Purchase products or services.,16
"Purchase materials, equipment, or other resources.",27
Provide transportation information to passengers or customers.,26
Provide technical support for software maintenance or use.,13
Provide technical support for computer network issues.,7
Provide technical information or assistance to public.,15
Provide technical guidance to other personnel.,14
"Provide security escorts for officials, jury members, or other individuals.",3
Provide safety training.,7
Provide recommendations to others about computer hardware.,10
Provide patrons with directions to locales or attractions.,6
Provide notifications to customers or patrons.,14
Provide medical or cosmetic advice for clients.,9
Provide legal advice to clients.,6
Provide information to the general public.,10
Provide information to coworkers.,21
Provide information about landscaping services or costs.,4
"Provide health and wellness advice to patients, program participants, or caregivers.",29
Provide for basic needs of children.,8
Provide first aid or rescue assistance in emergencies.,7
Provide escort or transportation.,6
Provide educational materials to community members.,6
Provide educational information to the public.,6
Provide customers with general information or assistance.,8
Provide customer service to clients or users.,7
"Provide counsel, comfort, or encouragement to individuals or families.",11
Provide care for animals.,9
"Provide basic information to guests, visitors, or clients.",8
Provide basic health care services.,5
Provide attraction or event information to patrons.,13
Protect wildlife or natural areas.,4
Protect structures or surfaces near work areas to avoid damage.,6
Protect property from fire or water damage.,3
Protect patients or staff members using safety equipment.,6
"Proofread documents, records, or other files to ensure accuracy.",22
"Promote products, services, or programs.",25
"Promote products, activities, or organizations.",14
Promote environmental sustainability or conservation initiatives.,5
Promote educational institutions or programs.,41
Promote agricultural or hunting activities.,1
Program robotic equipment.,13
Program equipment to perform production tasks.,23
Process x-rays or other medical images.,9
Process sales or other transactions.,18
Process medical billing information.,13
Process library materials.,9
Process healthcare paperwork.,11
Process forensic or legal evidence in accordance with procedures.,9
Process customer bills or payments.,14
Process animal carcasses.,12
Prevent unauthorized individuals from entering restricted areas.,5
Present work to clients for approval.,9
Present sustainable products or services information to the public.,2
Present social services program information to the public.,10
Present research results to others.,11
Present medical research reports.,13
Present information to the public.,16
Present food or beverage information or menus to customers.,10
Present business-related information to audiences.,6
Prescribe treatments or therapies.,21
Prescribe medications.,36
Prescribe assistive medical devices or related treatments.,6
Prepare written decisions for legal proceedings.,4
Prepare tests.,48
Prepare technical reports for internal use.,10
Prepare technical or operational reports.,10
Prepare surfaces for finishing.,16
Prepare staff schedules or work assignments.,13
Prepare scientific or technical reports or presentations.,57
Prepare sales or other contracts.,18
Prepare research reports.,7
Prepare research or technical reports.,14
Prepare research or technical reports on environmental issues.,8
Prepare reports summarizing patient diagnostic or care activities.,21
Prepare reports related to compliance matters.,12
Prepare reports detailing student activities or performance.,15
Prepare regulatory or compliance documentation.,6
Prepare proposals or grant applications to obtain project funding.,18
Prepare proposal documents.,14
Prepare proposal documents or grant applications.,5
Prepare project budgets.,7
Prepare products for testing.,1
Prepare production storyboards.,2
Prepare procedural documents.,17
Prepare patients physically for medical procedures.,11
Prepare patient treatment areas for use.,5
Prepare outgoing shipments.,1
Prepare outgoing mail.,8
Prepare operational reports.,33
Prepare operational reports or records.,16
Prepare operational progress or status reports.,15
Prepare operational budgets.,26
Prepare operational budgets for green energy or other green operations.,6
Prepare official health documents or records.,12
Prepare medications or medical solutions.,19
Prepare medical supplies or equipment for use.,22
Prepare medical reports or documents.,14
Prepare medical instruments or equipment for use.,11
Prepare meat products for sale or consumption.,10
Prepare materials or solutions for animal or plant use.,3
Prepare materials for processing.,8
"Prepare materials for preservation, storage, or display.",9
Prepare maps.,11
Prepare legal or investigatory documentation.,11
Prepare legal documents.,20
Prepare land for agricultural use.,2
Prepare investigation or incident reports.,13
Prepare instruction manuals.,4
Prepare informational or reference materials.,6
Prepare information or documentation related to legal or regulatory matters.,8
Prepare hot or cold beverages.,8
Prepare hoses or water supplies to fight fires.,1
Prepare healthcare training materials.,8
Prepare hazardous waste for processing or disposal.,12
Prepare graphics or other visual representations of information.,17
Prepare forms or applications.,12
Prepare foods or meals.,7
Prepare foods for cooking or serving.,14
Prepare financial documents.,17
"Prepare financial documents, reports, or budgets.",46
Prepare film for distribution or use.,2
Prepare fabrics or materials for processing or production.,6
Prepare explosives for detonation.,7
Prepare excavation or extraction sites for commissioning or decommissioning.,4
Prepare employee work schedules.,10
Prepare drawings or diagrams of products or services.,4
Prepare documentation of legal proceedings.,4
Prepare documentation for permits or licenses.,4
"Prepare documentation for contracts, transactions, or regulatory compliance.",37
Prepare detailed work plans.,25
Prepare data for analysis.,11
"Prepare contracts, disclosures, or applications.",12
Prepare contracts or other transaction documents.,4
Prepare compounds or solutions to be used for repairs.,5
Prepare compounds or solutions for products or testing.,7
Prepare chemicals for work application.,8
Prepare cash for deposit or disbursement.,11
Prepare business correspondence.,11
Prepare breads or doughs.,5
Prepare biological specimens for laboratory analysis.,24
Prepare biological samples for testing or analysis.,6
"Prepare biological feedstock for physical, chemical, or biological processing.",3
Prepare analytical reports.,12
Prepare administrative documents.,3
Prepare activity or work schedules.,6
Prepare accident or incident reports.,10
Practice athletic or artistic skills.,12
Pour materials into or on designated areas.,14
Position structural components.,15
Position safety or support equipment.,8
Position raw materials on processing or production equipment.,6
"Position patterns on equipment, materials, or workpieces.",7
Position patients for treatment or examination.,14
Position material handling equipment.,9
Position hand tools.,1
"Position equipment using hand tools, power tools, or heavy equipment.",8
Position containers to receive materials or workpieces.,5
Position construction or extraction equipment.,12
Position construction forms or molds.,7
Position animal trapping or capture equipment.,2
"Polish materials, workpieces, or finished products.",15
Plant greenery to improve landscape appearance.,4
"Plant crops, trees, or other plants.",3
Plan work procedures.,9
Plan work operations.,7
Plan special events.,5
Plan social sciences research.,7
Plan programs to address community mental wellness needs.,6
Plan programs to address community health issues.,7
Plan production or operational procedures or sequences.,19
Plan natural resources conservation or restoration programs.,15
Plan menu options.,9
"Plan layout of construction, installation, or repairs.",5
Plan implementation or promotion of recycling programs.,4
Plan flight operations.,7
Plan facility layouts or designs.,7
Plan experiential learning activities.,19
Plan environmental research.,11
Plan employee work schedules.,3
Plan educational activities.,34
"Plan conferences, programs, or special events.",5
Plan community programs or activities for the general public.,44
Plan biological research.,6
Place materials into molds.,15
Pilot aircraft.,9
Perform student enrollment or registration activities.,37
Perform music for the public.,13
Perform marketing activities.,6
Perform manual service or maintenance tasks.,9
"Perform manual agricultural, aquacultural, or horticultural tasks.",6
Perform human resources activities.,18
Perform housekeeping duties.,5
Perform forest firefighting activities.,4
Perform for recordings.,3
Perform dances.,4
Perform clerical work in medical settings.,36
Perform basic equipment maintenance.,9
Perform animal breeding procedures.,8
Perform administrative or clerical tasks.,13
"Pay charges, fees, or taxes.",7
Patrol properties to maintain safety.,9
Patrol natural areas to ensure safety or enforce regulations.,4
Participate in staffing decisions.,6
Participate in physical training to maintain fitness.,1
Participate in athletic events.,3
Paint surfaces or equipment.,9
Package products for storage or shipment.,16
Package objects for shipping.,14
Package materials or products.,7
Package materials for transport.,2
Package food or supplies.,7
Package agricultural products for shipment or further processing.,5
Oversee business processes.,11
Organize special events.,11
Organize recreational activities or events.,13
Organize informational materials.,5
Order medical supplies or equipment.,15
Order medical diagnostic or clinical tests.,22
"Order materials, supplies, or equipment.",73
Order instructional or library materials or equipment.,55
Order construction or extraction materials or equipment.,11
Operate woodworking equipment.,7
Operate welding equipment.,33
Operate vehicles or material-moving equipment.,21
Operate transportation equipment to demonstrate function or malfunction.,3
Operate textile cutting or production equipment.,16
Operate surveillance equipment to detect suspicious or illegal activities.,9
Operate still or video cameras or related equipment.,12
Operate ships or other watercraft.,10
Operate sewing equipment.,16
Operate road-surfacing equipment.,9
Operate recycling equipment.,3
Operate pumps or compressors.,8
Operate pumping systems or equipment.,22
Operate precision equipment to control microscopic or nanoscopic processes.,5
Operate photographic developing or print production equipment.,13
Operate painting or coating equipment.,10
Operate packing or other material processing equipment.,4
Operate on patients to treat conditions.,31
Operate office equipment.,21
Operate natural gas generation equipment.,3
Operate natural gas distribution equipment.,4
Operate mixing equipment.,11
Operate mining equipment.,5
Operate metal or plastic forming equipment.,30
Operate medical equipment.,6
Operate locomotives or other rail vehicles.,11
Operate laboratory or field equipment.,8
Operate laboratory equipment to analyze medical samples.,8
Operate irrigation systems.,4
Operate industrial equipment.,14
Operate heavy-duty construction or installation equipment.,16
Operate heating or drying equipment.,10
Operate grounds maintenance equipment.,15
Operate grinding equipment.,46
Operate green energy production equipment.,7
Operate garment treatment equipment.,6
Operate gaming equipment.,5
Operate forklifts or other loaders.,6
Operate forestry equipment.,12
Operate firefighting equipment.,8
Operate farming equipment.,10
Operate excavation equipment.,10
Operate equipment to print images or bind printed images together.,8
Operate equipment or vehicles to clear construction sites or move materials.,7
Operate energy production equipment.,15
Operate energy distribution equipment.,11
Operate drilling equipment.,7
Operate digital imaging equipment.,5
Operate diagnostic or therapeutic medical instruments or equipment.,35
Operate diagnostic imaging equipment.,29
Operate detonation equipment.,6
Operate cutting equipment.,27
"Operate cranes, hoists, or other moving or lifting equipment.",57
"Operate cooking, baking, or other food preparation equipment.",11
Operate conveyors or other industrial material moving equipment.,9
"Operate control consoles for sound, lighting or video.",11
Operate computers or computerized equipment.,13
Operate computer systems.,10
"Operate communications, transmissions, or broadcasting equipment.",18
Operate communications equipment or systems.,19
Operate chemical processing or water treatment systems or equipment.,7
Operate cash registers.,5
Operate biomass or biofuel production equipment.,8
Operate audiovisual equipment.,4
Operate audio-visual equipment.,8
Operate audio recording equipment.,8
Obtain written authorization to perform activities.,6
Obtain property information.,7
Obtain personal or financial information about customers or applicants.,15
Obtain information about goods or services.,9
Obtain documentation to authorize activities.,6
Obtain copyrights or other legal permissions.,5
Observe individuals' activities to gather information or compile evidence.,8
Observe equipment in operation to detect potential problems.,11
Notify others of equipment repair or maintenance needs.,28
Notify others of equipment problems.,4
"Notify others of emergencies, problems, or hazards.",18
Negotiate sales or lease agreements for products or services.,12
Negotiate purchases or contracts.,4
Negotiate project specifications.,4
Negotiate prices or other sales terms.,11
Negotiate labor disputes.,3
Negotiate for services.,6
Negotiate financial arrangements.,7
Negotiate contracts with clients or service providers.,11
"Negotiate contracts for transportation, distribution, or logistics services.",7
"Negotiate contracts for environmental remediation, green energy, or renewable resources.",5
Negotiate agreements to resolve disputes.,8
Navigate water vessels.,4
"Move products, materials, or equipment between work areas.",19
Move patients to or from treatment areas.,11
"Move materials, equipment, or supplies.",23
Move large objects using heavy equipment.,8
Move furniture.,6
"Move equipment, supplies or food to required locations.",8
Move construction or extraction materials to locations where they are needed.,15
Mount materials or workpieces onto production equipment.,40
Mount attachments or tools onto production equipment.,52
Monitor work environment to ensure safety or adherence to specifications.,5
Monitor work areas to provide security.,3
Monitor work areas or procedures to ensure compliance with safety procedures.,5
Monitor video displays of medical equipment to ensure proper functioning.,3
Monitor vehicle movement or location.,13
Monitor traffic signals.,5
Monitor the security of digital information.,5
Monitor the productivity or efficiency of industrial operations.,10
Monitor the performance of computer networks.,7
Monitor the handling of hazardous materials or medical wastes.,5
Monitor surroundings to detect potential hazards.,12
